               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 129,             0.02386,            0.029146,           0.0021811,             0.82655,             0.83325,             0.85067,              0.6001,            0.024962,            0.032735,            0.009462,            0.005776,            0.005776,            0.005776
                 130,            0.024248,            0.028539,           0.0020505,             0.87445,             0.79719,             0.86631,             0.60606,            0.025026,            0.032653,           0.0084613,            0.005743,            0.005743,            0.005743
                 131,            0.023211,             0.02898,           0.0019748,             0.86996,              0.8082,             0.84275,             0.59453,            0.025638,            0.033956,           0.0089066,             0.00571,             0.00571,             0.00571
                 132,            0.023183,            0.028053,           0.0020506,             0.88881,             0.80296,             0.86128,             0.59669,             0.02532,            0.033416,           0.0087318,            0.005677,            0.005677,            0.005677
                 133,            0.023409,            0.029158,           0.0020849,             0.87212,             0.81245,             0.85255,             0.59225,             0.02544,            0.033665,           0.0091983,            0.005644,            0.005644,            0.005644
                 134,            0.023665,            0.028802,           0.0022515,             0.84961,              0.8314,             0.86655,             0.60536,            0.024435,            0.031664,           0.0089564,            0.005611,            0.005611,            0.005611
                 135,            0.023355,            0.028373,            0.001988,             0.91722,             0.79554,             0.86441,             0.60778,            0.025044,            0.031846,           0.0094574,            0.005578,            0.005578,            0.005578
                 136,            0.023828,            0.029288,           0.0020117,              0.8571,             0.78465,             0.84638,             0.59107,            0.025367,            0.034306,            0.011113,            0.005545,            0.005545,            0.005545
                 137,            0.023296,             0.02877,           0.0023738,             0.86098,             0.84555,             0.87417,             0.61352,            0.024828,            0.032022,           0.0086906,            0.005512,            0.005512,            0.005512
                 138,            0.023538,             0.02947,           0.0021825,              0.8496,             0.84296,             0.85982,             0.60011,            0.025327,            0.032577,           0.0095327,            0.005479,            0.005479,            0.005479
                 139,            0.023308,            0.028541,           0.0018728,             0.87909,             0.81048,             0.86882,             0.60179,             0.02561,            0.032184,           0.0082751,            0.005446,            0.005446,            0.005446
                 140,            0.023313,            0.029347,            0.001886,             0.86555,             0.78961,             0.84475,             0.59356,            0.025764,            0.033246,           0.0096334,            0.005413,            0.005413,            0.005413
                 141,             0.02353,            0.028855,           0.0018418,              0.8843,             0.81926,             0.85707,             0.59861,              0.0255,             0.03315,           0.0092206,             0.00538,             0.00538,             0.00538
                 142,            0.023089,            0.027756,           0.0020865,             0.84656,             0.82249,             0.85944,             0.60454,            0.025419,            0.033247,           0.0083789,            0.005347,            0.005347,            0.005347
                 143,            0.022608,            0.028183,           0.0018199,             0.89092,             0.80303,             0.85861,             0.60235,            0.025506,            0.032558,           0.0080652,            0.005314,            0.005314,            0.005314
                 144,             0.02281,            0.027918,           0.0019665,             0.84771,             0.79261,             0.84802,             0.59845,            0.024984,             0.03312,            0.011227,            0.005281,            0.005281,            0.005281
                 145,            0.022887,            0.028098,           0.0019835,             0.85569,             0.80325,             0.84253,             0.59851,            0.025255,            0.032729,            0.010231,            0.005248,            0.005248,            0.005248
                 146,            0.023026,            0.027845,           0.0020847,             0.90328,             0.77374,             0.85892,             0.60354,            0.025557,            0.032249,            0.011185,            0.005215,            0.005215,            0.005215
                 147,            0.022543,            0.028744,           0.0016782,             0.88032,             0.81132,             0.86759,              0.6062,            0.025381,            0.032955,           0.0086568,            0.005182,            0.005182,            0.005182
                 148,            0.022711,            0.028056,           0.0019625,             0.89762,             0.79646,             0.86268,              0.6045,            0.025491,            0.031839,            0.010005,            0.005149,            0.005149,            0.005149
                 149,            0.022549,            0.028415,           0.0018435,               0.885,             0.78816,             0.86144,             0.60067,            0.025355,            0.032773,           0.0084116,            0.005116,            0.005116,            0.005116
                 150,            0.022431,            0.027222,           0.0019498,              0.8652,              0.7953,             0.85181,             0.59614,              0.0256,            0.034273,           0.0097458,            0.005083,            0.005083,            0.005083
                 151,            0.022779,            0.027725,           0.0020631,             0.85991,             0.80399,             0.86184,             0.60331,            0.025255,            0.032415,           0.0088684,             0.00505,             0.00505,             0.00505
                 152,            0.022374,            0.026838,           0.0018196,             0.84292,              0.8077,             0.85701,             0.60146,            0.025613,            0.033192,           0.0092306,            0.005017,            0.005017,            0.005017
